HomeTeam,AwayTeam,B365H,B365D,B365A,FTR,HomeTeam_Code,AwayTeam_Code,FTR_Code
Chelsea,Tottenham,2.05,3.5,3.6,D,4,16,1
Arsenal,Wolves,2.05,3.4,3.75,A,0,19,0
Leicester,Fulham,1.5,4.33,6.5,A,9,7,0
West Ham,Aston Villa,2.25,3.6,3.0,H,18,1,2
Burnley,Everton,4.0,3.5,1.9,D,3,6,1
Man City,Fulham,1.1,11.0,19.0,H,11,7,2
West Ham,Man United,3.6,3.6,2.0,A,18,12,0
Chelsea,Leeds,1.5,4.5,6.0,H,4,8,2
West Brom,Crystal Palace,2.87,3.2,2.55,A,17,5,0
Sheffield United,Leicester,3.8,3.5,1.95,A,14,9,0
Tottenham,Arsenal,1.95,3.6,3.8,H,16,0,2
Liverpool,Wolves,1.5,4.33,6.5,H,10,19,2
Brighton,Southampton,2.45,3.4,2.9,A,2,15,0
Leeds,West Ham,2.15,3.7,3.1,A,8,18,0
Wolves,Aston Villa,2.25,3.25,3.25,A,19,1,0
Newcastle,West Brom,2.45,3.2,3.0,H,13,17,2
Man United,Man City,4.33,4.2,1.72,D,12,11,1
Everton,Chelsea,4.33,4.2,1.7,H,6,4,2
Southampton,Sheffield United,1.7,3.75,5.0,H,15,14,2
Crystal Palace,Tottenham,4.5,3.9,1.72,D,5,16,1
Fulham,Liverpool,9.0,5.5,1.3,D,7,10,1
Arsenal,Burnley,1.53,4.2,6.25,A,0,3,0
Leicester,Brighton,2.0,3.5,3.8,H,9,2,2
Wolves,Chelsea,5.25,3.8,1.66,H,19,4,2
Man City,West Brom,1.09,11.0,21.0,D,11,17,1
Arsenal,Southampton,2.25,3.5,3.1,D,0,15,1
Leeds,Newcastle,1.75,4.0,4.33,H,8,13,2
Leicester,Everton,2.15,3.6,3.25,A,9,6,0
Fulham,Brighton,2.87,3.3,2.5,D,7,2,1
Liverpool,Tottenham,1.75,3.8,4.5,H,10,16,2
West Ham,Crystal Palace,2.05,3.4,3.6,D,18,5,1
Aston Villa,Burnley,1.75,3.8,4.5,D,1,3,1
Sheffield United,Man United,7.0,4.6,1.44,A,14,12,0
Crystal Palace,Liverpool,6.5,4.33,1.5,A,5,10,0
Southampton,Man City,7.0,4.5,1.44,A,15,11,0
Everton,Arsenal,2.45,3.5,2.8,H,6,0,2
Newcastle,Fulham,2.5,3.25,2.9,D,13,7,1
Brighton,Sheffield United,1.65,3.75,5.5,D,2,14,1
Tottenham,Leicester,2.05,3.5,3.6,A,16,9,0
Man United,Leeds,1.66,4.33,4.5,H,12,8,2
West Brom,Aston Villa,3.6,3.8,1.95,A,17,1,0
Burnley,Wolves,3.5,3.25,2.2,H,3,19,2
Chelsea,West Ham,1.44,5.0,6.25,H,4,18,2
Leicester,Man United,2.9,3.6,2.3,D,9,12,1
Aston Villa,Crystal Palace,1.9,3.75,3.8,H,1,5,2
Fulham,Southampton,3.2,3.3,2.3,D,7,15,1
Arsenal,Chelsea,4.0,3.6,1.9,H,0,4,2
Man City,Newcastle,1.11,10.0,19.0,H,11,13,2
Sheffield United,Everton,4.2,3.6,1.85,A,14,6,0
Leeds,Burnley,1.72,4.0,4.33,H,8,3,2
West Ham,Brighton,2.3,3.4,3.1,D,18,2,1
Liverpool,West Brom,1.11,10.0,19.0,D,10,17,1
Wolves,Tottenham,3.6,3.25,2.15,D,19,16,1
Crystal Palace,Leicester,3.75,3.5,2.0,D,5,9,1
Chelsea,Aston Villa,1.61,4.2,5.0,D,4,1,1
Brighton,Arsenal,3.25,3.5,2.2,A,2,0,0
Burnley,Sheffield United,2.37,3.1,3.25,H,3,14,2
Southampton,West Ham,2.1,3.6,3.4,D,15,18,1
West Brom,Leeds,3.6,3.6,2.0,A,17,8,0
Man United,Wolves,1.53,4.2,6.25,H,12,19,2
Newcastle,Liverpool,12.0,6.0,1.25,D,13,10,1
Everton,West Ham,2.1,3.5,3.5,A,6,18,0
Man United,Aston Villa,1.72,4.2,4.2,H,12,1,2
Tottenham,Leeds,1.75,4.1,4.2,H,16,8,2
Crystal Palace,Sheffield United,1.95,3.5,3.9,H,5,14,2
Brighton,Wolves,2.62,3.25,2.75,D,2,19,1
West Brom,Arsenal,5.75,4.0,1.57,A,17,0,0
Newcastle,Leicester,5.25,4.2,1.61,A,13,9,0
Chelsea,Man City,3.0,3.7,2.2,A,4,11,0
Southampton,Liverpool,5.0,4.33,1.61,H,15,10,2
Sheffield United,Newcastle,2.45,3.1,3.1,H,14,13,2
Burnley,Man United,7.0,4.5,1.45,A,3,12,0
Wolves,Everton,2.45,3.1,3.1,A,19,6,0
Man City,Brighton,1.14,8.5,16.0,H,11,2,2
Tottenham,Fulham,1.36,5.0,8.5,D,16,7,1
Arsenal,Crystal Palace,1.53,4.0,6.5,D,0,5,1
Wolves,West Brom,1.6,3.5,7.0,A,19,17,0
Leeds,Brighton,2.1,3.5,3.4,A,8,2,0
West Ham,Burnley,1.8,3.5,4.75,H,18,3,2
Fulham,Chelsea,6.5,4.33,1.5,A,7,4,0
Leicester,Southampton,1.8,3.75,4.5,H,9,15,2
Sheffield United,Tottenham,6.25,3.75,1.6,A,14,16,0
Liverpool,Man United,1.95,3.8,3.6,D,10,12,1
Man City,Crystal Palace,1.14,8.5,17.0,H,11,5,2
Arsenal,Newcastle,1.4,4.5,8.0,H,0,13,2
West Ham,West Brom,1.57,4.2,5.5,H,18,17,2
Leicester,Chelsea,2.87,3.4,2.45,H,9,4,2
Man City,Aston Villa,1.22,6.5,12.0,H,11,1,2
Fulham,Man United,6.0,4.33,1.53,A,7,12,0
Liverpool,Burnley,1.18,7.5,15.0,A,10,3,0
Aston Villa,Newcastle,1.45,4.75,6.5,H,1,13,2
Crystal Palace,West Ham,3.1,3.25,2.37,A,5,18,0
Newcastle,Leeds,3.9,3.8,1.85,A,13,8,0
Southampton,Arsenal,3.5,3.6,2.05,A,15,0,0
West Brom,Man City,15.0,7.5,1.18,A,17,11,0
Burnley,Aston Villa,3.8,3.5,1.95,H,3,1,2
Chelsea,Wolves,1.6,4.2,5.25,D,4,19,1
Brighton,Fulham,2.05,3.4,3.75,D,2,7,1
Everton,Leicester,2.8,3.3,2.55,D,6,9,1
Man United,Sheffield United,1.25,6.0,11.0,A,12,14,0
Tottenham,Liverpool,3.2,3.6,2.2,A,16,10,0
Everton,Newcastle,1.55,4.0,6.5,A,6,13,0
Crystal Palace,Wolves,2.87,3.2,2.55,H,5,19,2
Man City,Sheffield United,1.12,9.0,18.0,H,11,14,2
West Brom,Fulham,3.3,3.2,2.3,D,17,7,1
Arsenal,Man United,2.8,3.5,2.45,D,0,12,1
Southampton,Aston Villa,2.8,3.6,2.37,A,15,1,0
Chelsea,Burnley,1.33,5.0,9.5,H,4,3,2
Leicester,Leeds,1.8,4.0,4.2,A,9,8,0
West Ham,Liverpool,4.33,4.0,1.75,A,18,10,0
Brighton,Tottenham,3.2,3.4,2.25,H,2,16,2
Sheffield United,West Brom,2.0,3.3,4.0,H,14,17,2
Wolves,Arsenal,3.6,3.3,2.1,H,19,0,2
Man United,Southampton,1.4,4.75,7.0,H,12,15,2
Newcastle,Crystal Palace,2.8,3.2,2.6,A,13,5,0
Burnley,Man City,13.0,7.0,1.2,A,3,11,0
Fulham,Leicester,4.0,3.5,1.9,A,7,9,0
Leeds,Everton,2.5,3.5,2.7,A,8,6,0
Aston Villa,West Ham,2.2,3.4,3.25,A,1,18,0
Liverpool,Brighton,1.33,5.25,9.0,A,10,2,0
Tottenham,Chelsea,3.5,3.4,2.1,A,16,4,0
Aston Villa,Arsenal,2.62,3.5,2.6,H,1,0,2
Burnley,Brighton,3.6,3.1,2.2,D,3,2,1
Newcastle,Southampton,3.0,3.3,2.4,H,13,15,2
Fulham,West Ham,3.6,3.5,2.05,D,7,18,1
Man United,Everton,1.53,4.2,6.0,D,12,6,1
Tottenham,West Brom,1.45,4.5,7.0,H,16,17,2
Wolves,Leicester,3.5,3.4,2.1,D,19,9,1
Liverpool,Man City,3.4,3.6,2.05,A,10,11,0
Sheffield United,Chelsea,7.0,4.5,1.45,A,14,4,0
Leeds,Crystal Palace,1.8,3.8,4.2,H,8,5,2
Leicester,Liverpool,3.5,3.4,2.1,H,9,10,2
Crystal Palace,Burnley,2.37,3.1,3.2,A,5,3,0
Man City,Tottenham,1.28,5.75,9.5,H,11,16,2
Brighton,Aston Villa,2.7,3.5,2.5,D,2,1,1
Southampton,Wolves,2.37,3.2,3.1,A,15,19,0
West Brom,Man United,10.0,5.5,1.3,D,17,12,1
Arsenal,Leeds,1.83,3.8,4.0,H,0,8,2
Everton,Fulham,1.85,3.6,4.2,A,6,7,0
West Ham,Sheffield United,1.66,3.75,5.25,H,18,14,2
Chelsea,Newcastle,1.22,6.5,12.0,H,4,13,2
Burnley,Fulham,2.75,3.2,2.7,D,3,7,1
Everton,Man City,8.5,5.5,1.33,A,6,11,0
Wolves,Leeds,2.37,3.3,3.0,H,19,8,2
Southampton,Chelsea,5.0,3.8,1.7,D,15,4,1
Burnley,West Brom,2.0,3.3,4.0,D,3,17,1
Liverpool,Everton,1.44,4.5,7.0,A,10,6,0
Fulham,Sheffield United,2.15,3.2,3.6,H,7,14,2
West Ham,Tottenham,2.62,3.4,2.7,H,18,16,2
Aston Villa,Leicester,2.87,3.5,2.4,A,1,9,0
